main_speaker,title,speaker_occupation,duration,languages,views,comments
Sherwin Nuland,The extraordinary power of ordinary people,Doctor,756,23,326663,35
Woody Norris,Hypersonic sound and other inventions,Inventor,829,22,1205867,144
Peter Ward,A theory of Earth's mass extinctions,Paleontologist,1181,22,837508,42
Aimee Mullins,Changing my legs - and my mindset,Athlete and actor,1345,30,1013266,67
Joe DeRisi,Solving medical mysteries,Biochemist,965,21,401015,50
Natalie MacMaster,Fiddling in reel time,Fiddler,1127,22,1065681,53
Bill Gross,A solar energy system that tracks the sun,Idea guy,1195,23,612934,90
Bill Gates,"Mosquitos, malaria and education",Philanthropist,1216,35,2634359,468
Elizabeth Gilbert,Your elusive creative genius,Writer,1149,49,13155478,1604
Milton Glaser,Using design to make ideas new,Graphic designer,914,20,382985,21
David Merrill,Toy tiles that talk to each other,MIT grad student,429,29,1765153,147
Barry Schwartz,Our loss of wisdom,Psychologist,1245,38,3303825,505
Juan Enriquez,The next species of human,Futurist,1130,22,2954577,448
Josթ Antonio Abreu,The El Sistema music revolution,Maestro,1018,27,942604,135
Gustavo Dudamel and the Teresa Carreձo Youth Orchestra,El Sistema's top youth orchestra,Ensemble,1026,29,2062308,204
Sylvia Earle,My wish: Protect our oceans,Oceanographer,1096,31,1139732,168
Jill Tarter,Join the SETI search,Astronomer,1283,26,1263442,201
Ed Ulbrich,How Benjamin Button got his face,Visual storyteller,1087,23,907147,59
Charles Moore,Seas of plastic,Oceanographer,440,35,1097511,165
Richard Pyle,A dive into the reef's Twilight Zone,Ichthyologist,1008,21,352252,30
Miru Kim,My underground art explorations,Photographer and explorer,870,24,582812,74
Evan Williams,The voices of Twitter users,Twitter co-founder,480,32,1134737,127
Brenda Laurel,Why not make video games for girls?,Designer and theorist,788,30,382517,91
Willie Smits,How to restore a rainforest,Conservationist,1242,25,677150,156
Nalini Nadkarni,Conserving the canopy,Tree researcher,990,20,398835,61
Mike Rowe,Learning from dirty jobs,TV host,1202,26,4434674,409
Eric Lewis,Piano jazz that rocks,Pianist,636,0,697257,194
Don Norman,3 ways good design makes you happy,Cognitive scientist and design critic,761,30,1248458,45
Pattie Maes + Pranav Mistry,Meet the SixthSense interaction,Researcher,522,43,9753630,768
Aimee Mullins,My 12 pairs of legs,Athlete and actor,598,42,3472415,223
Stuart Brown,Play is more than just fun,"Play researcher, psychiatrist",1602,29,1625469,152
Tim Berners-Lee,The next web,Inventor,983,28,1352069,179
Dan Dennett,"Cute, sexy, sweet, funny","Philosopher, cognitive scientist",465,36,2373021,267
Dan Ariely,Our buggy moral code,Behavioral economist,983,36,2725557,280
Adam Savage,My obsession with objects and the stories they tell,"Maker, critical thinker",938,37,1697809,104
Bruce McCall,What is retro-futurism?,Humorist,781,20,396905,121
Kamal Meattle,How to grow fresh air,Business owner and activist,244,41,3095075,233
Saul Griffith,High-altitude wind energy from kites!,Inventor,325,30,630431,115
Jacqueline Novogratz,An escape from poverty,Investor and advocate for moral leadership,450,35,943565,119
David Pogue,Cool tricks your phone can do,Technology columnist,1623,20,730407,91
John Wooden,The difference between winning and succeeding,Coach,1056,27,4891781,269
Nathan Wolfe,The jungle search for viruses,Virus hunter,735,26,1045631,60
C.K. Williams,Poetry of youth and age,Poet,1397,20,246094,39
Jacek Utko,Can design save newspapers?,Newspaper designer,364,31,1055886,109
Ueli Gegenschatz,Extreme wingsuit flying,Aerialist,733,25,1442990,117
Christopher C. Deam,"The Airstream, restyled",Designer,381,20,308276,18
P.W. Singer,Military robots and the future of war,Military analyst,965,27,1460352,294
Nathaniel Kahn,"Scenes from ""My Architect""",Filmmaker,627,27,338831,23
Bruce Bueno de Mesquita,A prediction for the future of Iran,Political scientist,1145,21,744448,252
Bonnie Bassler,"How bacteria ""talk""",Molecular biologist,1094,39,2192828,420
Emily Levine,A theory of everything,Philosopher-comic,1372,24,2049904,147
Renny Gleeson,Our antisocial phone tricks,Skeptimist,226,40,1217412,92
Shai Agassi,A new ecosystem for electric cars,Green auto pioneer,1086,25,1139068,389
Gregory Stock,To upgrade is human,"Author, thinker",1071,19,497449,144
JoAnn Kuchera-Morin,Stunning data visualization in the AlloSphere,Composer,387,25,630784,103
Tim Ferriss,"Smash fear, learn anything","Investor, human guinea pig, author",985,27,2771442,271
Matthew Childs,9 life lessons from rock climbing,"Marketer, rock climber",288,33,739690,55
Margaret Wertheim,The beautiful math of coral,Figurer,933,22,1280829,113
Niels Diffrient,Rethinking the way we sit down,Designer,1040,20,554650,64
Erik Hersman,Reporting crisis via texting,Technologist,236,32,403555,33
Nate Silver,Does racism affect how you vote?,Statistician,556,24,427878,238
Ben Katchor,Comics of bygone New York,Cartoonist,671,24,294396,20
Alex Tabarrok,How ideas trump crises,Economist,873,33,748739,202
Michael Merzenich,Growing evidence of brain plasticity,Neuroscientist,1387,21,1237391,130
Sarah Jones,A one-woman global village,Polymorphic playwright,1260,20,1607397,112
Laurie Garrett,Lessons from the 1918 flu,Science journalist,1265,20,425429,92
Brian Cox,What went wrong at the LHC,Physicist ,209,39,948459,107
Sean Gourley,The mathematics of war,Physicist and military theorist,439,29,909309,142
Mae Jemison,Teach arts and sciences together,"Astronaut, engineer, entrepreneur, physician and educator",888,20,744257,99
Tom Shannon,Anti-gravity sculpture,Sculptor,715,21,1069653,80
Al Gore,What comes after An Inconvenient Truth?,Climate advocate,464,47,775430,846
Louise Fresco,We need to feed the whole world,Food and agriculture expert,1080,22,922158,277
Seth Godin,The tribes we lead,Marketer and author,1049,32,1985679,266
Eric Lewis,Chaos and harmony on piano,Pianist,294,0,391427,138
Hans Rosling,"Insights on HIV, in stunning data visuals",Global health expert; data visionary,602,40,904813,125
Nandan Nilekani,Ideas for India's future,Technologist and visionary,919,24,792495,133
Naturally 7,A full-band beatbox,A capella ensemble,236,29,1485196,88
Ray Anderson,The business logic of sustainability,Sustainable-business pioneer,954,25,881842,109
Dan Ariely,Are we in control of our own decisions?,Behavioral economist,1046,45,4934167,324
Mary Roach,10 things you didn't know about orgasm,Writer,1003,37,22270883,354
Carolyn Porco,Could a Saturn moon harbor life?,Planetary scientist,209,40,884578,181
Yves Behar,A supercharged motorcycle design,Designer,143,45,556657,62
Joachim de Posada,Don't eat the marshmallow!,Speaker and author,358,45,2613400,591
Jay Walker,The world's English mania,Entrepreneur,274,48,4289903,588
Michelle Obama,"A passionate, personal case for education",First Lady of the United States,749,39,1026589,313
Jonathan Drori,Why we're storing billions of seeds,Educator,394,29,555846,103
Kaki King,"Playing ""Pink Noise"" on guitar",Guitarist,889,28,1054415,287
Liz Coleman,A call to reinvent liberal arts education,College president,1118,22,589931,323
Ray Kurzweil,A university for the coming singularity,"Inventor, futurist",527,27,908923,145
Yann Arthus-Bertrand,A wide-angle view of fragile Earth,Photographer,894,31,751889,143
Felix Dennis,Odes to vice and consequences,"Publisher, philanthropist, poet",1044,17,296294,55
Pete Alcorn,The world in 2200,Media exec,230,34,493966,126
John La Grou,A plug for smart power outlets,Inventor,252,33,606042,172
Kevin Surace,Eco-friendly drywall,"Engineer, executive",199,38,352169,69
Nancy Etcoff,Happiness and its surprises,Evolutionary psychologist,1185,22,1587823,112
Robert Full,Learning from the gecko's tail,Biologist,714,24,665959,72
Richard St. John,Success is a continuous journey,"Marketer, success analyst",237,56,3661633,182
Jane Poynter,Life in Biosphere 2,Biospherian,953,27,843719,103
Clay Shirky,How social media can make history,Social Media Theorist,948,30,1677738,344
Diane Benscoter,How cults rewire the brain,Deprogrammer,384,29,1076279,642
Catherine Mohr,"Surgery's past, present and robotic future",Roboticist,1135,28,680984,110
Qi Zhang,An electrifying organ performance,Organist,185,0,803691,135
Philip Zimbardo,The psychology of time,Psychologist,394,37,1580239,166
Paul Collier,New rules for rebuilding a broken nation,Economist,994,28,406530,93
Katherine Fulton,You are the future of philanthropy,New philanthropist,754,26,437529,42
Ray Zahab,My trek to the South Pole,Endurance runner,353,32,310446,60
Arthur Benjamin,Teach statistics before calculus!,Mathemagician,178,64,2175141,398
Gever Tulley,Life lessons through tinkering,Tinkerer,245,41,1149257,172
Daniel Libeskind,17 words of architectural inspiration,Architect,1116,24,784642,423
Eames Demetrios,The design genius of Charles + Ray Eames,Artist,908,20,594111,26
Tom Wujec,3 ways the brain creates meaning,Designer,386,34,1022457,101
Sophal Ear,Escaping the Khmer Rouge,Development economist,357,34,501090,80
Kary Mullis,A next-gen cure for killer infections,Biochemist,275,33,624544,144
Stewart Brand,4 environmental 'heresies',"Environmentalist, futurist",1002,22,646378,473
Olafur Eliasson,Playing with space and light,Sculptor of light and space,576,24,522578,54
Daniel Kraft,A better way to harvest bone marrow,Physician scientist,254,31,462619,81
Jim Fallon,Exploring the mind of a killer,Neurobiologist,392,33,2064604,155
Nina Jablonski,Skin color is an illusion,Anthropologist,888,27,996694,301
Gordon Brown,Wiring a web for global good,British Prime Minister,1003,27,811914,514
Alain de Botton,"A kinder, gentler philosophy of success",Philosopher,1011,47,5790615,471
Golan Levin,Art that looks back at you,Experimental audio-visual artist,933,20,771144,85
Elaine Morgan,I believe we evolved from aquatic apes,Aquatic ape theorist,1033,27,1038576,621
Willard Wigan,Hold your breath for micro-sculpture,Micro-sculptor,1183,21,640722,103
Michael Pritchard,How to make filthy water drinkable,Inventor,571,32,3573198,752
Paul Romer,Why the world needs charter cities,"Chief Economist and Senior Vice President, World Bank",1109,25,572392,403
Janine Benyus,Biomimicry in action,"Science writer, innovation consultant, conservationist",1062,28,1118954,141
Emmanuel Jal,The music of a war child,Hip-hop artist,1083,24,776516,210
Dan Pink,The puzzle of motivation,Career analyst,1116,44,18830983,1094
Eric Giler,A demo of wireless electricity,Wireless electrician,609,27,2088983,428
Hans Rosling,Let my dataset change your mindset,Global health expert; data visionary,1196,33,1471039,122
Natasha Tsakos,A multimedia theatrical adventure,Artist,879,24,389813,123
Cary Fowler,"One seed at a time, protecting the future of food",Biodiversity archivist,1028,26,679728,99
Joshua Silver,Adjustable liquid-filled eyeglasses,Optical innovator,334,27,751452,118
Geoff Mulgan,"Post-crash, investing in a better world",Social commentator,1080,19,308233,91
Evan Grant,Making sound visible through cymatics,Creative technologist,279,32,811565,125
Steve Truglia,A leap from the edge of space,Stuntman,870,20,571893,60
James Balog,Time-lapse proof of extreme ice loss,Photographer,1162,21,914170,288
Lewis Pugh,How I swam the North Pole,Coldwater swimmer,1133,23,689476,110
Rebecca Saxe,How we read each other's minds,Cognitive neuroscientist,1011,33,2856240,386
Vishal Vaid,Hypnotic South Asian improv music,Musician,814,0,414396,146
Misha Glenny,How global crime networks work,Underworld investigator,1170,32,891314,91
Bjarke Ingels,3 warp-speed architecture tales,Architect,1094,29,2129938,227
John Lloyd,An inventory of the invisible,Producer,624,31,1159134,108
Oliver Sacks,What hallucination reveals about our minds,Neurological anthropologist,1128,39,4233352,328
Imogen Heap,"""Wait It Out""",Musician,237,30,883282,91
Jonathan Zittrain,The Web as random acts of kindness,Net watchdog,1191,24,717483,96
Evgeny Morozov,How the Net aids dictatorships,Internet scientist,713,29,430276,110
William Kamkwamba,How I harnessed the wind,Inventor,359,44,2161908,292
Taryn Simon,Photographs of secret sites,Photographer,1052,25,1581054,171
Jacqueline Novogratz,A third way to think about aid,Investor and advocate for moral leadership,1024,24,436147,52
Parag Khanna,Mapping the future of countries,Global strategist,1133,26,935859,185
Tim Brown,Designers -- think big!,Designer,1010,22,1340175,64
Karen Armstrong,Let's revive the Golden Rule,Religious scholar,594,30,732390,311
Garik Israelian,How spectroscopy could reveal alien life,Astrophysicist,952,23,593547,70
Stefan Sagmeister,The power of time off,Graphic designer,1060,29,2956967,158
Carolyn Steel,How food shapes our cities,Food urbanist,940,31,1014285,111
David Logan,Tribal leadership,Professor of management,999,25,1404586,248
Chimamanda Ngozi Adichie,The danger of a single story,Novelist,1129,46,13298341,1155
Beau Lotto,Optical illusions show how we see,"Neuroscientist, Artist",990,35,5006241,234
Sam Martin,"Claim your ""manspace""",Writer,267,32,739428,149
Eric Sanderson,New York -- before the City,Landscape ecologist,969,20,1431255,57
David Hanson,"Robots that ""show emotion""",Robotics designer,297,33,906262,178
Rory Sutherland,Life lessons from an ad man,Advertising guru,999,32,2882836,286
Henry Markram,A brain in a supercomputer,Neuroscientist,890,28,1180127,343
Julian Treasure,The 4 ways sound affects us,Sound consultant,346,33,1557795,184
John Gerzema,The post-crisis consumer,Marketing whiz,994,21,760493,133
Paul Debevec,Animating a photo-real digital face,Computer graphics pioneer,366,24,748862,89
Itay Talgam,Lead like the great conductors,Conductor and leadership expert,1251,33,2890058,207
Marc Koska,1.3m reasons to re-invent the syringe,Inventor,285,35,629018,233
Ian Goldin,Navigating our global future,"Economist, development visionary",426,29,1072435,112
David Deutsch,A new way to explain explanation,Quantum physicist,998,25,938937,270
Rachel Armstrong,Architecture that repairs itself?,"Applied scientist, innovator",452,28,1095398,156
Becky  Blanton,The year I was homeless,Writer,429,35,1098346,259
Marcus du Sautoy,"Symmetry, reality's riddle",Mathematician,1099,23,1010292,72
Matthew White,The modern euphonium,Brass virtuoso,141,0,771962,46
Stefana Broadbent,How the Internet enables intimacy,Tech anthropologist,531,28,1198897,152
